Starting to train (PyTorch).
Iter 0000020: train nll 1.456, valid error 075.460%, best valid error 100.000%, avg grad norm   1.035, avg grad norm (post clip)   0.945, rho_Whh  0.95, Omega  0.07, alpha  2.000, steps in the past 0.011, valid nll 1.386
Iter 0000040: train nll 1.386, valid error 075.090%, best valid error 075.460%, avg grad norm   0.541, avg grad norm (post clip)   0.541, rho_Whh  0.95, Omega  0.01, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000060: train nll 1.386, valid error 075.180%, best valid error 075.090%, avg grad norm   0.346, avg grad norm (post clip)   0.346, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000080: train nll 1.386, valid error 075.090%, best valid error 075.090%, avg grad norm   0.215, avg grad norm (post clip)   0.215, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000100: train nll 1.387, valid error 075.090%, best valid error 075.090%, avg grad norm   0.226, avg grad norm (post clip)   0.226, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000120: train nll 1.386, valid error 075.070%, best valid error 075.090%, avg grad norm   0.221, avg grad norm (post clip)   0.221, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000140: train nll 1.386, valid error 075.090%, best valid error 075.070%, avg grad norm   0.216, avg grad norm (post clip)   0.216, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.386
Iter 0000160: train nll 1.385, valid error 075.090%, best valid error 075.070%, avg grad norm   0.193, avg grad norm (post clip)   0.193, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
Iter 0000180: train nll 1.385, valid error 075.090%, best valid error 075.070%, avg grad norm   0.193, avg grad norm (post clip)   0.193, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
Iter 0000200: train nll 1.387, valid error 075.090%, best valid error 075.070%, avg grad norm   0.212, avg grad norm (post clip)   0.212, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
Iter 0000220: train nll 1.386, valid error 075.090%, best valid error 075.070%, avg grad norm   0.200, avg grad norm (post clip)   0.200, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
Iter 0000240: train nll 1.386, valid error 075.090%, best valid error 075.070%, avg grad norm   0.231, avg grad norm (post clip)   0.231, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
Iter 0000260: train nll 1.387, valid error 075.090%, best valid error 075.070%, avg grad norm   0.216, avg grad norm (post clip)   0.216, rho_Whh  0.95, Omega  0.00, alpha  2.000, steps in the past 0.010, valid nll 1.387
